"siteID";"Datetimei";"Datetimed";"Datetimeg";"durationd";"durationg"
"Site-05";2024-08-13 17:42:00;2024-08-21 17:53:00;2024-08-22 15:27:00;8,00763888888889;8,90625
"Site-31";2024-07-31 17:00:00;2024-08-01 19:41:00;2024-08-02 18:57:00;1,11180555555556;2,08125
"Site-09";2024-08-21 17:38:00;2024-08-21 17:38:00;2024-08-22 16:01:00;0;0,932638888888889
"Site-22";2024-08-21 17:06:00;2024-08-21 17:06:00;2024-08-22 18:34:00;0;1,06111111111111
"Site-33";2024-07-31 17:20:00;2024-08-01 19:47:00;2024-08-02 19:02:00;1,10208333333333;2,07083333333333
"Site-34";2024-08-18 14:18:00;2024-08-21 13:24:00;2024-08-22 12:53:00;2,9625;3,94097222222222
"Site-36";2024-08-21 13:15:00;2024-08-21 13:15:00;2024-08-22 12:11:00;0;0,955555555555556
"Site-40";2024-07-31 11:30:00;2024-08-01 13:37:00;2024-08-02 14:52:00;1,08819444444444;2,14027777777778
"Site-08";2024-07-31 13:10:00;2024-08-02 17:52:00;2024-08-03 17:54:00;2,19583333333333;3,19722222222222
"Site-10";2024-07-31 13:30:00;2024-07-31 13:30:00;2024-08-01 18:25:00;0;1,20486111111111
"Site-39";2024-08-20 12:11:00;2024-08-21 12:42:00;2024-08-22 10:41:00;1,02152777777778;1,9375
"Site-40";2024-08-18 13:43:00;2024-08-21 12:47:00;2024-08-22 11:07:00;2,96111111111111;3,89166666666667
"Site-01";2024-07-31 12:00:00;2024-08-22 14:54:00;NA;22,1208333333333;NA
"Site-02";2024-08-19 16:32:00;2024-08-22 15:04:00;NA;2,93888888888889;NA
"Site-03";2024-07-31 12:20:00;2024-08-22 15:14:00;NA;22,1208333333333;NA
"Site-04";2024-07-31 12:30:00;2024-08-22 15:24:00;NA;22,1208333333333;NA
"Site-06";2024-07-31 12:50:00;2024-08-22 15:32:00;NA;22,1125;NA
"Site-07";2024-07-31 13:00:00;2024-08-22 15:37:00;NA;22,1090277777778;NA
"Site-10";2024-08-18 17:23:00;2024-08-22 16:36:00;NA;3,96736111111111;NA
"Site-11";2024-07-31 13:40:00;2024-08-22 16:46:00;NA;22,1291666666667;NA
"Site-12";2024-07-31 13:50:00;2024-08-22 16:56:00;NA;22,1291666666667;NA
"Site-22";2024-07-31 15:30:00;2024-07-31 15:30:00;2024-08-01 17:50:00;0;1,09722222222222
"Site-09";2024-07-31 13:20:00;2024-08-02 17:55:00;2024-08-03 17:57:00;2,19097222222222;3,19236111111111
"Site-13";2024-07-31 14:00:00;2024-08-22 17:06:00;NA;22,1291666666667;NA
"Site-14";2024-07-31 14:10:00;2024-08-22 17:16:00;NA;22,1291666666667;NA
"Site-15";2024-07-31 14:20:00;2024-08-22 17:26:00;NA;22,1291666666667;NA
"Site-16";2024-07-31 14:30:00;2024-08-22 17:36:00;NA;22,1291666666667;NA
"Site-17";2024-07-31 14:40:00;2024-08-22 17:46:00;NA;22,1291666666667;NA
"Site-18";2024-07-31 14:50:00;2024-08-22 17:56:00;NA;22,1291666666667;NA
"Site-30";2024-07-31 16:50:00;2024-07-31 16:50:00;2024-08-01 19:38:00;0;1,11666666666667
"Site-10";2024-08-01 18:25:00;2024-08-02 17:58:00;2024-08-03 18:01:00;0,98125;1,98333333333333
"Site-05";2024-07-31 12:40:00;2024-08-03 17:45:00;2024-08-04 16:33:00;3,21180555555556;4,16180555555556
"Site-35";2024-07-31 10:15:00;2024-08-03 19:15:00;2024-08-04 18:16:00;3,375;4,33402777777778
"Site-33";2024-08-02 19:02:00;2024-08-02 19:02:00;2024-08-03 19:07:00;0;1,00347222222222
"Site-34";2024-07-31 10:00:00;2024-07-31 10:00:00;2024-08-01 19:48:00;0;1,40833333333333
"Site-40";2024-08-02 14:52:00;2024-08-03 12:56:00;2024-08-04 13:56:00;0,919444444444444;1,96111111111111
"Site-36";2024-07-31 10:30:00;2024-07-31 10:30:00;2024-08-01 14:37:00;0;1,17152777777778
"Site-19";2024-07-31 15:00:00;2024-08-22 18:06:00;NA;22,1291666666667;NA
"Site-34";2024-08-02 19:06:00;2024-08-03 19:11:00;2024-08-04 18:10:00;1,00347222222222;1,96111111111111
"Site-31";2024-08-02 18:57:00;2024-08-04 18:01:00;2024-08-05 18:46:00;1,96111111111111;2,99236111111111
"Site-39";2024-07-31 11:15:00;2024-08-05 13:26:00;2024-08-06 14:41:00;5,09097222222222;6,14305555555556
"Site-30";2024-08-01 19:38:00;2024-08-05 18:36:00;2024-08-06 19:22:00;3,95694444444444;4,98888888888889
